ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
257342,chiropractor referral,99213,1.3,1.35,0.57,0.1
257360,allergist & immunologist referral,99213,1.3,1.35,0.57,0.1
257361,anesthesiologist referral,99213,1.3,1.35,0.57,0.1
257362,cardiologist referral,99203,1.6,1.61,0.69,0.16
257363,dermatologist referral,99203,1.6,1.61,0.69,0.16
257364,otolaryngologist referral,99213,1.3,1.35,0.57,0.1
257365,"endocrinology, diabetes & metabolism specialist referral",99213,1.3,1.35,0.57,0.1
257366,infertility reproductive endocrinology  referral,97112,0.5,0.48,0.48,0.01
257367,gastroenterologist referral,99203,1.6,1.61,0.69,0.16
257368,geriatric medicine referral,99213,1.3,1.35,0.57,0.1
257369,hematologist referral,99213,1.3,1.35,0.57,0.1
257370,infectious disease specialist referral,99000,0.0,0.0,0.0,0.0
257371,joint replacement referral,99213,1.3,1.35,0.57,0.1
257372,nephrologist referral,99213,1.3,1.35,0.57,0.1
257373,neurologist referral,99213,1.3,1.35,0.57,0.1
257375,obstetrician and gynecologist referral,99213,1.3,1.35,0.57,0.1
257376,oncologist referral,99213,1.3,1.35,0.57,0.1
257377,ophthalmologist referral,99213,1.3,1.35,0.57,0.1
257378,orthopedic surgeon referral,97602,0.0,0.0,0.0,0.0
257379,plastic surgeon referral,99203,1.6,1.61,0.69,0.16
257380,podiatrist referral,99213,1.3,1.35,0.57,0.1
257381,psychiatrist referral,99213,1.3,1.35,0.57,0.1
257382,pulmonary disease specialist referral,99203,1.6,1.61,0.69,0.16
257383,rheumatologist referral,99203,1.6,1.61,0.69,0.16
257384,sleep medicine referral,97110,0.45,0.43,0.43,0.01
257385,physical medicine and rehabilitation referral,97112,0.5,0.48,0.48,0.01
257386,general surgeon referral,99213,1.3,1.35,0.57,0.1
257387,urologist referral,99213,1.3,1.35,0.57,0.1
257768,optometrist referral,99213,1.3,1.35,0.57,0.1
257780,laparoscopic surgery referral,99213,1.3,1.35,0.57,0.1
257782,nutritionist/dietitian referral,97602,0.0,0.0,0.0,0.0
257786,pain management referral,99213,1.3,1.35,0.57,0.1
257822,addiction psychiatry referral,99213,1.3,1.35,0.57,0.1
257824,certified orthotist referral,97610,0.4,11.87,0.12,0.01
257825,certified prosthetist referral,99213,1.3,1.35,0.57,0.1
257826,certified prosthetist-orthotist referral,99213,1.3,1.35,0.57,0.1
257827,clinical cardiac electrophysiologist referral,99213,1.3,1.35,0.57,0.1
257828,colon & rectal surgeon referral,99213,1.3,1.35,0.57,0.1
257829,diagnostic radiologist referral,99283,1.6,0.35,0.35,0.16
257830,family medicine referral,99213,1.3,1.35,0.57,0.1
257831,gynecologist referral,99213,1.3,1.35,0.57,0.1
257832,hand surgeon referral,99213,1.3,1.35,0.57,0.1
257833,hematologist/oncologist referral,99203,1.6,1.61,0.69,0.16
257834,internal medicine referral,99213,1.3,1.35,0.57,0.1
257835,interventional radiologist referral,99204,2.6,2.21,1.15,0.24
257836,"plastic surgeon, head and neck referral",99213,1.3,1.35,0.57,0.1
257837,medical oncologist referral,99213,1.3,1.35,0.57,0.1
257839,neuropsychiatrist referral,99203,1.6,1.61,0.69,0.16
257840,nuclear medicine specialist referral,99215,2.8,2.42,1.28,0.21
257841,obstetrician referral,99213,1.3,1.35,0.57,0.1
257842,occupational therapist referral,97110,0.45,0.43,0.43,0.01
257843,oral surgery/dentist referral,99203,1.6,1.61,0.69,0.16
257844,OSTEO. manipulative referral,98943,0.46,0.28,0.18,0.03
257846,pathologist referral,99213,1.3,1.35,0.57,0.1
257848,peripheral vas. dis./osteopathic referral,99203,1.6,1.61,0.69,0.16
257849,peripheral vascular disease referral,97602,0.0,0.0,0.0,0.0
257852,radiation oncologist referral,99203,1.6,1.61,0.69,0.16
257853,radiation therapy referral,99203,1.6,1.61,0.69,0.16
257854,radiologist referral,99203,1.6,1.61,0.69,0.16
257855,surgical oncologist referral,99203,1.6,1.61,0.69,0.16
257856,thoracic surgeon referral,99203,1.6,1.61,0.69,0.16
257857,vascular surgeon referral,97602,0.0,0.0,0.0,0.0
257869,audiologist referral,99202,0.93,1.16,0.4,0.07
257874,pacemaker check consultation,99213,1.3,1.35,0.57,0.1
260761,physical therapist referral,97110,0.45,0.43,0.43,0.01
260813,hepatologist referral,99213,1.3,1.35,0.57,0.1
261129,home health referral,99213,1.3,1.35,0.57,0.1
261140,genetics referral,99203,1.6,1.61,0.69,0.16
261164,speech therapy referral,92507,1.3,0.99,0.99,0.03
261479,early intervention services provider referral,99213,1.3,1.35,0.57,0.1
261638,breast surgery referral,99213,1.3,1.35,0.57,0.1
261639,maternal & fetal medicine referral,99221,1.63,0.66,0.66,0.17
