ordertypeid,name
257342,chiropractor referral
257360,allergist & immunologist referral
257361,anesthesiologist referral
257362,cardiologist referral
257363,dermatologist referral
257364,otolaryngologist referral
257365,"endocrinology, diabetes & metabolism specialist referral"
257366,infertility reproductive endocrinology  referral
257367,gastroenterologist referral
257368,geriatric medicine referral
257369,hematologist referral
257370,infectious disease specialist referral
257371,joint replacement referral
257372,nephrologist referral
257373,neurologist referral
257375,obstetrician and gynecologist referral
257376,oncologist referral
257377,ophthalmologist referral
257378,orthopedic surgeon referral
257379,plastic surgeon referral
257380,podiatrist referral
257381,psychiatrist referral
257382,pulmonary disease specialist referral
257383,rheumatologist referral
257384,sleep medicine referral
257385,physical medicine and rehabilitation referral
257386,general surgeon referral
257387,urologist referral
257768,optometrist referral
257780,laparoscopic surgery referral
257782,nutritionist/dietitian referral
257786,pain management referral
257822,addiction psychiatry referral
257824,certified orthotist referral
257825,certified prosthetist referral
257826,certified prosthetist-orthotist referral
257827,clinical cardiac electrophysiologist referral
257828,colon & rectal surgeon referral
257829,diagnostic radiologist referral
257830,family medicine referral
257831,gynecologist referral
257832,hand surgeon referral
257833,hematologist/oncologist referral
257834,internal medicine referral
257835,interventional radiologist referral
257836,"plastic surgeon, head and neck referral"
257837,medical oncologist referral
257839,neuropsychiatrist referral
257840,nuclear medicine specialist referral
257841,obstetrician referral
257842,occupational therapist referral
257843,oral surgery/dentist referral
257844,OSTEO. manipulative referral
257846,pathologist referral
257848,peripheral vas. dis./osteopathic referral
257849,peripheral vascular disease referral
257851,psychologist referral
257852,radiation oncologist referral
257853,radiation therapy referral
257854,radiologist referral
257855,surgical oncologist referral
257856,thoracic surgeon referral
257857,vascular surgeon referral
257869,audiologist referral
257874,pacemaker check consultation
260761,physical therapist referral
260813,hepatologist referral
261128,kyphoplasty referral
261129,home health referral
261140,genetics referral
261164,speech therapy referral
261479,early intervention services provider referral
261638,breast surgery referral
261639,maternal & fetal medicine referral
262461,gynecologic oncologist referral
263281,diabetes management  referral
263959,oral appliance & consult referral
264968,neurotologist referral
265630,behavioral psychotherapy referral
266088,preoperative clearance consult
266847,functional capacity evaluation consult
267049,wound care referral
267050,hospice & palliative medicine referral
267103,cardiac rehabilitation provider referral
267104,cardio pulmonary referral
267231,pediatric cardiologist referral
267295,follow up visit referral
267317,urogynecologist referral
268647,breast evaluation referral
269078,urgent care/ER referral
269079,critical care medicine referral
269080,clinical & laboratory dermatological immunologist referral
269081,dermatopathologist referral
269082,pediatric dermatologist referral
269083,emergency medicine referral
269084,medical toxicologist referral
269085,pediatric emergency medicine referral
269086,sports medicine referral
269087,undersea & hyperbaric medicine referral
269088,adolescent medicine referral
269090,interventional cardiology referral
269091,transplant hepatologist referral
269092,medical geneticist referral
269093,clinical biochemical geneticist referral
269094,molecular genetic pathologist referral
269095,clinical geneticist referral
269096,clinical molecular geneticist referral
269097,neurological surgeon referral
269099,child abuse pediatrician referral
269100,neurodevelopmental disabilities specialist referral
269101,neuromuscular medicine referral
269102,vascular neurologist referral
269103,orthopedic sports medicine referral
269104,pediatric otolaryngologist referral
269105,blood banking transfusion medicine referral
269107,cytopathologist referral
269125,child & adolescent psychiatrist referral
269127,pediatric surgeon referral
269131,mental health counselor referral
269241,infusion therapy center referral
269250,medical weight loss program referral
269319,counseling referral
269527,pediatric ophthalmologist referral
270206,yoga referral
270208,biofeedback therapy referral
270209,craniosacral therapy referral
270646,independent medical evaluation
270654,skilled nursing facility referral
271129,dentist referral
271496,manual therapy referral
272586,occupational medicine referral
272610,Mohs-micrographic surgeon referral
272643,orthopedic spine surgeon referral
272654,lymphedema consult
272659,social worker referral
272842,assisted living facility referral
272843,personal home care referral
272955,pediatric rheumatologist referral
273130,acupuncturist referral
273504,OMT referral
273505,living smart diabetes education referral
273506,continuous glucose monitoring system referral
273571,educator referral for pump training
273740,pelvic floor therapy referral
273821,wound care information
273838,laser hair removal referral
273839,esthetician referral
273840,electrolysis referral
273865,vestibular therapy referral
274477,laser tattoo removal referral
274478,DME evaluation referral
274618,burn referral
274619,enterostomy referral
274681,medical nutrition therapy referral
275234,genetic counselor referral
275236,labor and delivery referral
275472,HBTS home based therapeutic services
275473,pass personal assistance services & support
275687,UCSF hair clinic referral
275688,UCSF environmental derm referral
275802,bariatric medicine referral
275855,insulin pump referral
275895,pediatric craniofacial reconstruction referral
275896,pediatric dentist referral
275897,pediatric endocrinologist referral
275898,pediatric gastroenterologist referral
275899,pediatric genetics referral
275900,pediatric gynecologist referral
275901,pediatric hematologist/oncologist referral
275902,pediatric metabolic genetics referral
275904,pediatric pulmonologist referral
275905,pediatric radiologist referral
276041,orthopedic foot/ankle surgeon referral
276050,perinatal services consult
276066,amniocentesis and genetic counseling
276067,chorionic villi sampling and genetic counseling
276353,icd check
276529,neuropsychologist referral
276541,phototherapy referral
276658,coumadin clinic referral
276910,pulmonologist referral
277090,pulmonary rehab referral
277101,medical fitness referral
277102,athlete conditioning referral
277284,HIV counseling referral
277580,melanoma/lymphoma clinic referral
277687,urogynecology physical therapy referral
