ordertypeid,name,validated_cpt_code
257342,chiropractor referral,99213
257360,allergist & immunologist referral,99213
257361,anesthesiologist referral,99213
257362,cardiologist referral,99203
257363,dermatologist referral,99203
257364,otolaryngologist referral,99213
257365,"endocrinology, diabetes & metabolism specialist referral",99213
257366,infertility reproductive endocrinology  referral,97112
257367,gastroenterologist referral,99203
257368,geriatric medicine referral,99213
257369,hematologist referral,99213
257370,infectious disease specialist referral,99000
257371,joint replacement referral,99213
257372,nephrologist referral,99213
257373,neurologist referral,99213
257375,obstetrician and gynecologist referral,99213
257376,oncologist referral,99213
257377,ophthalmologist referral,99213
257378,orthopedic surgeon referral,97602
257379,plastic surgeon referral,99203
257380,podiatrist referral,99213
257381,psychiatrist referral,99213
257382,pulmonary disease specialist referral,99203
257383,rheumatologist referral,99203
257384,sleep medicine referral,97110
257385,physical medicine and rehabilitation referral,97112
257386,general surgeon referral,99213
257387,urologist referral,99213
257768,optometrist referral,99213
257780,laparoscopic surgery referral,99213
257782,nutritionist/dietitian referral,97602
257786,pain management referral,99213
257822,addiction psychiatry referral,99213
257824,certified orthotist referral,97610
257825,certified prosthetist referral,99213
257826,certified prosthetist-orthotist referral,99213
257827,clinical cardiac electrophysiologist referral,99213
257828,colon & rectal surgeon referral,99213
257829,diagnostic radiologist referral,99283
257830,family medicine referral,99213
257831,gynecologist referral,99213
257832,hand surgeon referral,99213
257833,hematologist/oncologist referral,99203
257834,internal medicine referral,99213
257835,interventional radiologist referral,99204
257836,"plastic surgeon, head and neck referral",99213
257837,medical oncologist referral,99213
257839,neuropsychiatrist referral,99203
257840,nuclear medicine specialist referral,99215
257841,obstetrician referral,99213
257842,occupational therapist referral,97110
257843,oral surgery/dentist referral,99203
257844,OSTEO. manipulative referral,98943
257846,pathologist referral,99213
257848,peripheral vas. dis./osteopathic referral,99203
257849,peripheral vascular disease referral,97602
257852,radiation oncologist referral,99203
257853,radiation therapy referral,99203
257854,radiologist referral,99203
257855,surgical oncologist referral,99203
257856,thoracic surgeon referral,99203
257857,vascular surgeon referral,97602
257869,audiologist referral,99202
257874,pacemaker check consultation,99213
260761,physical therapist referral,97110
260813,hepatologist referral,99213
261129,home health referral,99213
261140,genetics referral,99203
261164,speech therapy referral,92507
261479,early intervention services provider referral,99213
261638,breast surgery referral,99213
261639,maternal & fetal medicine referral,99221
262461,gynecologic oncologist referral,99213
263281,diabetes management  referral,99214
263959,oral appliance & consult referral,99213
264968,neurotologist referral,99213
265630,behavioral psychotherapy referral,90834
266088,preoperative clearance consult,99213
266847,functional capacity evaluation consult,99213
267049,wound care referral,99213
267050,hospice & palliative medicine referral,99213
267103,cardiac rehabilitation provider referral,97605
267104,cardio pulmonary referral,99213
267231,pediatric cardiologist referral,99213
267295,follow up visit referral,99213
267317,urogynecologist referral,99213
268647,breast evaluation referral,97610
269078,urgent care/ER referral,99213
269079,critical care medicine referral,99221
269080,clinical & laboratory dermatological immunologist referral,99203
269081,dermatopathologist referral,99202
269082,pediatric dermatologist referral,99213
269083,emergency medicine referral,99281
269084,medical toxicologist referral,99213
269085,pediatric emergency medicine referral,99283
269086,sports medicine referral,99050
269087,undersea & hyperbaric medicine referral,99213
269088,adolescent medicine referral,99213
269090,interventional cardiology referral,99213
269091,transplant hepatologist referral,99213
269092,medical geneticist referral,99213
269093,clinical biochemical geneticist referral,99203
269094,molecular genetic pathologist referral,99213
269095,clinical geneticist referral,99203
